Year,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,England,England and Wales,UK
2007,37.5,40.4,59.9,50.5,49.9,58.2,43.3,44.9,52,47.9,38.2,40.5,45,41.8,61.3,51.9,48.3,47.1,41.5,46.4,60.6,39.7,41.5,47.4,44.1,61.3,62.1,41.2,56.5,37.3,45,47.2,44.3,42,44.7,42.6,44.5,43.4,48.3,48.4,49.4,47.2,#N/A,45.5,#N/A,#N/A
2008,60,41.4,61.7,51,53.6,62.7,43.8,49.5,54,48.9,44.8,41.5,43.5,44.2,62.9,53.9,49.3,49.9,41.4,51,60.4,45.6,45.9,53.3,45.7,62.7,64.5,45.5,57.5,42.5,47.6,48.3,46.5,45,47.5,44.5,47.1,46.2,50.2,51,51.8,49.2,#N/A,47.8,#N/A,#N/A
2009,53.3,45.5,62.4,56.8,55.2,64.9,48.7,53.9,56.5,49.9,46,49.4,52.4,48.3,65.5,56,56,53,48.6,59.2,65.8,51.3,47.7,55.4,47.9,63.4,63.6,49.2,59.3,46.4,49.7,51.4,50.3,48.1,49.9,47.3,49.9,48.5,52,54.2,53.7,51.8,#N/A,50.7,#N/A,#N/A
2010,54.5,52.1,68.3,59.3,58.2,67.2,51.3,55.7,60.6,55.3,53.1,54.5,57.5,50.6,64.6,61.1,58.8,56.4,51.2,67.4,67.3,54.7,50.1,58.1,51.8,67.8,70.4,56,64,52.2,54.2,57.5,59.4,52.9,55.2,52.1,53.7,54.3,56,58.2,57.5,55.4,#N/A,55.1,#N/A,#N/A
2011,54.5,58.1,69.1,62.9,61.2,69.9,56.1,61.5,60.5,59.7,56.5,55,60.4,59.1,69.2,63.9,60.7,60,55.3,70.3,71.6,61.8,56.6,63.9,59,67.3,73.2,60.2,68.3,61.2,57.1,61.1,60.4,56.8,58.4,54.6,57.1,57.4,59.1,62.1,59.6,57.8,#N/A,58.2,#N/A,#N/A
2012,#N/A,58.6,68.5,64.9,59.3,70.4,59.9,63.1,61.5,57.3,63.7,58.6,57.8,58.6,67.1,62,63.1,58.9,55.2,#N/A,70.2,59.9,58.6,65.3,61.2,70.4,68.6,60,70.2,62.1,56.4,60.4,66.3,58.5,58.9,57.4,57.8,58.8,58.1,62.6,60.2,57.5,#N/A,58.8,#N/A,#N/A
2013,81.8,60.6,72.3,65.6,62.3,75.5,60.7,65.1,64,63.3,65.2,63,59.2,62.8,70.1,64.1,63.2,64,62.9,72.8,69.8,64.2,61.3,67.2,59.1,70.1,75.5,66.3,72.3,64.3,59.5,62.8,68.7,59.4,59.9,59.6,59.3,59.9,59.7,65.3,62.5,59.5,#N/A,60.6,#N/A,#N/A
2014,78.6,58,67.3,60.3,60.1,68,62.7,57.7,62.1,59.9,58.8,60.6,60.5,59.7,66.4,59.8,62,63.2,59.9,68.7,68.6,57.1,56.3,67.8,55.7,68.7,70.5,61.2,67.4,59.2,58.3,63,65.7,54.6,55.8,53.9,54.1,55,57,61.8,58.9,56.7,#N/A,56.6,#N/A,#N/A
